                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92179,                 12.441,                 1.2371,                0.50441,                0.28725,                0.35516,                0.28278,                0.92054,                  3.212,                  1.092,                 0.0892,                 0.0012,                 0.0012
                      2,                0.94863,                 2.5328,                 1.2492,                0.78905,                 0.7886,                0.82554,                0.65178,                0.74753,                 1.2945,                   1.03,               0.077451,              0.0024505,              0.0024505
                      3,                0.79356,                 1.4476,                  1.143,                0.84245,                0.70326,                0.80589,                0.65028,                0.75966,                 1.0728,                 1.0723,                0.06565,              0.0036495,              0.0036495
                      4,                 0.7864,                 1.3169,                  1.224,                0.71568,                0.74491,                 0.7523,                0.60551,                 0.7371,                 1.1064,                 1.0877,               0.053797,              0.0047971,              0.0047971
                      5,                0.68136,                 1.0628,                 1.0944,                0.74463,                0.73219,                0.74602,                0.58637,                0.80659,                 1.1209,                 1.1539,               0.041893,              0.0058931,              0.0058931
                      6,                0.74486,                 1.0581,                 1.1131,                0.73438,                0.67606,                 0.7403,                0.57251,                0.85325,                 1.6054,                 1.1706,               0.029938,              0.0069377,              0.0069377
                      7,                0.70471,                 1.0762,                 1.0981,                0.64365,                0.58024,                0.61904,                0.46617,                 0.9021,                 1.6068,                 1.2289,               0.017931,              0.0079308,              0.0079308
                      8,                0.73018,                 1.2406,                 1.1147,                0.58908,                0.50028,                0.49582,                0.34394,                 1.1073,                 2.2759,                 1.3898,               0.008614,               0.008614,               0.008614
                      9,                0.82965,                 1.2902,                 1.1576,                0.58483,                 0.4545,                0.45037,                0.30258,                 1.2789,                 2.1518,                 1.6058,               0.008416,               0.008416,               0.008416
                     10,                0.83954,                 1.1814,                 1.1658,                 0.5082,                0.32946,                0.33343,                0.22816,                 1.4247,                 2.6785,                 1.6515,               0.008218,               0.008218,               0.008218
                     11,                0.83958,                 1.3372,                  1.188,                0.33208,                0.38242,                0.29736,                0.19494,                 1.4425,                 2.8253,                 1.7997,                0.00802,                0.00802,                0.00802
                     12,                0.88419,                 1.5106,                 1.2389,                0.39799,                0.43041,                0.39752,                0.26141,                 1.3516,                 2.5183,                 1.6642,               0.007822,               0.007822,               0.007822
                     13,                0.78532,                 1.1361,                  1.131,                0.48875,                0.39979,                0.41972,                0.26973,                 1.3785,                   2.54,                 1.6613,               0.007624,               0.007624,               0.007624
                     14,                0.75768,                  1.429,                 1.1804,                0.38925,                0.39911,                0.33903,                0.21002,                 1.4839,                 2.8877,                 1.7881,               0.007426,               0.007426,               0.007426
                     15,                0.87246,                 1.1752,                 1.1804,                0.49238,                0.36142,                0.38021,                0.25568,                 1.4608,                 2.4839,                 1.7402,               0.007228,               0.007228,               0.007228
                     16,                0.82935,                 1.2274,                 1.2685,                0.65653,                0.32682,                0.38671,                0.23669,                 1.5277,                 2.4918,                 1.8219,                0.00703,                0.00703,                0.00703
                     17,                0.80954,                 1.2151,                 1.1865,                0.54423,                0.33001,                0.36288,                0.22905,                 1.4908,                 2.5907,                 1.7912,               0.006832,               0.006832,               0.006832
                     18,                0.80819,                 1.1929,                 1.2324,                0.55023,                0.40393,                0.41003,                0.24667,                 1.5164,                 2.4209,                 1.7911,               0.006634,               0.006634,               0.006634
                     19,                0.82318,                0.97916,                 1.1417,                0.56034,                0.39987,                0.42914,                0.29023,                 1.4114,                 2.1087,                 1.6753,               0.006436,               0.006436,               0.006436
                     20,                 0.6553,                0.83141,                 1.0554,                0.65892,                0.36088,                0.43633,                0.28957,                 1.4172,                 2.2186,                 1.6614,               0.006238,               0.006238,               0.006238
                     21,                0.82297,                 1.1045,                 1.2232,                 0.7598,                0.36229,                0.44666,                0.27353,                 1.4432,                 2.2179,                 1.7299,                0.00604,                0.00604,                0.00604
                     22,                0.75938,                 1.0171,                 1.1891,                0.75355,                0.37142,                0.44803,                0.29083,                 1.4028,                  2.262,                 1.7366,               0.005842,               0.005842,               0.005842
                     23,                0.74727,                0.87563,                 1.1148,                0.65596,                0.43436,                0.44876,                0.29149,                 1.4906,                 2.4259,                 1.7189,               0.005644,               0.005644,               0.005644
                     24,                 0.8244,                0.94964,                 1.1478,                0.65516,                 0.4008,                0.44751,                0.27906,                 1.5493,                 2.2772,                 1.7647,               0.005446,               0.005446,               0.005446
                     25,                0.65274,                0.81496,                 1.0842,                0.55222,                0.44342,                0.40786,                0.24497,                 1.5816,                 2.4624,                 1.8319,               0.005248,               0.005248,               0.005248
                     26,                0.80471,                0.94274,                  1.119,                0.60871,                0.40749,                0.43934,                 0.2991,                 1.5293,                 2.2864,                 1.8131,                0.00505,                0.00505,                0.00505
                     27,                0.69894,                0.88944,                 1.0882,                0.51087,                 0.4167,                0.38781,                0.26111,                 1.5473,                 2.3025,                 1.8026,               0.004852,               0.004852,               0.004852
                     28,                0.72685,                 0.8457,                  1.056,                0.49301,                0.40888,                 0.4067,                0.27388,                 1.5525,                 2.1562,                 1.8206,               0.004654,               0.004654,               0.004654
                     29,                0.74714,                0.88782,                 1.1457,                0.63067,                0.36111,                0.41463,                0.27132,                 1.4722,                  2.148,                 1.6729,               0.004456,               0.004456,               0.004456
                     30,                0.64722,                 0.7841,                 1.0847,                0.63799,                0.36471,                0.39356,                0.26119,                 1.4939,                 2.2812,                 1.7673,               0.004258,               0.004258,               0.004258
                     31,                0.69744,                0.86046,                 1.1437,                0.51775,                0.41203,                0.43679,                0.28881,                 1.4083,                 2.1535,                 1.6839,                0.00406,                0.00406,                0.00406
                     32,                0.67688,                0.80288,                 1.1384,                0.66851,                0.36905,                0.43591,                  0.286,                 1.4474,                 2.1802,                 1.6896,               0.003862,               0.003862,               0.003862
                     33,                0.61484,                0.64175,                 1.0397,                0.67309,                0.36216,                0.44219,                0.28548,                 1.4027,                 2.1065,                 1.6634,               0.003664,               0.003664,               0.003664
                     34,                0.64587,                 0.7098,                 1.0713,                0.55825,                0.43051,                 0.4605,                0.31465,                   1.38,                  2.014,                 1.6345,               0.003466,               0.003466,               0.003466
                     35,                0.60919,                0.72048,                 1.0596,                0.61076,                0.40033,                0.45814,                0.33031,                 1.3256,                 2.0632,                 1.5735,               0.003268,               0.003268,               0.003268
                     36,                0.60604,                0.72023,                 1.0544,                0.78542,                0.39168,                0.49094,                0.36852,                 1.2718,                 1.9731,                 1.5374,                0.00307,                0.00307,                0.00307
                     37,                0.59609,                0.63792,                 1.0263,                0.69908,                0.42815,                0.47721,                 0.3466,                 1.2875,                 2.2757,                 1.5708,               0.002872,               0.002872,               0.002872
                     38,                0.60099,                0.66081,                 1.0349,                0.75768,                 0.3831,                0.46768,                0.34396,                 1.2998,                 2.3385,                 1.5133,               0.002674,               0.002674,               0.002674
                     39,                 0.7463,                 1.0229,                0.99259,                0.84787,                0.35516,                0.43588,                0.34261,                 1.3102,                 2.4928,                 1.5284,               0.002476,               0.002476,               0.002476
                     40,                0.66741,                0.73516,                 1.1137,                0.67011,                0.39997,                0.45192,                0.34163,                  1.263,                 2.4728,                 1.4956,               0.002278,               0.002278,               0.002278
                     41,                0.48064,                0.51887,                0.95246,                0.70144,                 0.4137,                0.47184,                0.34657,                 1.2428,                 2.4406,                 1.5044,                0.00208,                0.00208,                0.00208
                     42,                0.53461,                0.46056,                 1.0448,                 0.6556,                0.42077,                0.47352,                0.36165,                 1.2029,                 2.3063,                 1.4859,               0.001882,               0.001882,               0.001882
                     43,                0.39184,                 0.4004,                0.89025,                 0.6544,                0.41467,                0.47648,                0.35168,                 1.1648,                 2.2461,                  1.448,               0.001684,               0.001684,               0.001684
                     44,                0.45393,                0.45603,                0.94106,                0.71291,                0.43736,                0.48537,                0.35482,                 1.1969,                 2.2488,                 1.4812,               0.001486,               0.001486,               0.001486
                     45,                0.43759,                0.43135,                0.90842,                0.75737,                0.38826,                0.48595,                0.36552,                  1.201,                  2.282,                 1.4764,               0.001288,               0.001288,               0.001288
                     46,                0.40006,                0.34484,                0.87818,                0.75938,                0.38757,                0.49794,                0.36727,                 1.1941,                 2.3275,                 1.4896,                0.00109,                0.00109,                0.00109
                     47,                0.47989,                0.48318,                0.92611,                0.76406,                0.40275,                0.50042,                 0.3694,                 1.2043,                 2.3574,                 1.5152,               0.000892,               0.000892,               0.000892
                     48,                0.41094,                0.39064,                0.90547,                0.72143,                0.40834,                0.48655,                0.36336,                 1.2203,                 2.3557,                 1.5267,               0.000694,               0.000694,               0.000694
                     49,                0.36788,                0.33587,                0.90101,                0.70914,                0.40884,                0.48067,                0.36215,                 1.2139,                 2.3556,                 1.5338,               0.000496,               0.000496,               0.000496
                     50,                0.43999,                0.37686,                0.88865,                0.70269,                0.40312,                0.48194,                0.36137,                  1.196,                 2.3929,                 1.5053,               0.000298,               0.000298,               0.000298
