                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0944,                  2.697,                  12.69,                 1.1979,                 0.3426,                0.24905,                0.23665,                0.16703,                0.33713,                0.23733,                0.22298,                0.13105,                 1.0265,                 2.4477,                 3.0472,                 1.1881,                 0.0892,                 0.0012,                 0.0012
                      2,                 1.0408,                  2.283,                 2.6439,                 1.2502,                0.71553,                0.58228,                0.64519,                0.52038,                0.66648,                0.58782,                0.62278,                0.43178,                0.72252,                 1.8707,                 1.7889,                 1.0365,               0.077451,              0.0024505,              0.0024505
                      3,                0.83307,                   1.98,                 1.8722,                 1.0932,                0.67925,                 0.7123,                0.70212,                0.56758,                0.66875,                0.70071,                0.68262,                0.47628,                0.69954,                 1.7601,                 1.4239,                 1.0344,                0.06565,              0.0036495,              0.0036495
                      4,                0.77045,                 1.7223,                 1.6311,                 1.0726,                0.66912,                0.59317,                0.62698,                0.49457,                0.63853,                0.56438,                0.60428,                 0.4165,                 0.7343,                 1.7847,                 1.4405,                 1.0566,               0.053797,              0.0047971,              0.0047971
                      5,                 0.6673,                 1.2263,                 1.1925,                 1.0095,                0.74903,                0.52197,                0.64253,                 0.5293,                0.75645,                0.50634,                0.62667,                0.44572,                0.70341,                   1.78,                 1.3843,                 1.0133,               0.041893,              0.0058931,              0.0058931
                      6,                0.72596,                 1.4887,                 1.2876,                  1.023,                0.62755,                0.61464,                0.62044,                0.49421,                0.61876,                0.60683,                0.60479,                0.44087,                0.74812,                 1.9368,                 1.4894,                 1.0483,               0.029938,              0.0069377,              0.0069377
                      7,                0.68675,                 1.3347,                 1.1906,                 1.0159,                0.63632,                0.53404,                0.58189,                0.45014,                0.61642,                0.51952,                0.55154,                0.37749,                 0.8331,                 2.0932,                 1.5392,                 1.0918,               0.017931,              0.0079308,              0.0079308
                      8,                0.69583,                 1.3538,                 1.3394,                 1.0271,                 0.6603,                0.46153,                0.51184,                0.40292,                0.63563,                0.43971,                0.49918,                0.33813,                 0.8666,                 2.3265,                 1.9024,                 1.1258,               0.008614,               0.008614,               0.008614
                      9,                0.80654,                 1.5236,                 1.1924,                 1.0703,                0.59947,                0.42847,                0.48181,                0.35172,                0.59216,                0.41613,                0.44877,                0.26607,                 1.0616,                 2.7825,                 1.8398,                 1.2886,               0.008416,               0.008416,               0.008416
                     10,                0.75964,                 1.3396,                 1.1025,                 1.0103,                0.57764,                0.41486,                0.44818,                0.34605,                0.54942,                0.38621,                0.41027,                0.28924,                 1.0821,                 2.6368,                 1.9193,                  1.317,               0.008218,               0.008218,               0.008218
                     11,                0.70925,                 1.4212,                 1.1851,                 1.0038,                0.56443,                0.41777,                0.44494,                0.33626,                0.55778,                0.38419,                0.40139,                0.25018,                 1.1235,                 2.7477,                 1.9841,                   1.33,                0.00802,                0.00802,                0.00802
                     12,                0.70223,                 1.3299,                 1.0357,                 1.0123,                0.70704,                0.37148,                0.41496,                0.31076,                0.64054,                 0.3466,                0.38258,                0.25198,                 1.0853,                 2.6617,                 2.0698,                 1.3662,               0.007822,               0.007822,               0.007822
                     13,                0.71202,                  1.505,                 1.0977,                 1.0269,                0.54568,                0.42681,                0.43499,                0.31561,                 0.5166,                0.40143,                0.41078,                0.23015,                 1.1767,                 2.7773,                 2.0907,                 1.4132,               0.007624,               0.007624,               0.007624
                     14,                0.74585,                  1.349,                 1.1516,                 1.0803,                0.71139,                0.43359,                0.49791,                 0.3653,                0.72835,                 0.4023,                0.45491,                0.28227,                 1.1477,                 2.7856,                 1.8982,                 1.3925,               0.007426,               0.007426,               0.007426
                     15,                0.70948,                 1.2023,                0.95068,                0.99721,                0.58013,                0.42175,                0.42839,                0.30869,                0.67209,                0.39381,                0.41176,                0.26487,                 1.1829,                 2.9271,                 2.1709,                 1.3966,               0.007228,               0.007228,               0.007228
                     16,                 0.6666,                 1.3265,                 1.0935,                 1.0318,                0.60984,                 0.3819,                 0.4303,                0.32582,                 0.6038,                0.36825,                0.41543,                0.27256,                 1.1392,                 2.8362,                 2.1889,                 1.3519,                0.00703,                0.00703,                0.00703
                     17,                0.64895,                 1.0997,                0.96785,                  1.007,                0.54095,                0.38213,                0.36159,                0.27299,                0.53052,                0.38365,                0.35336,                0.22173,                 1.1366,                 2.8622,                 2.1363,                 1.4003,               0.006832,               0.006832,               0.006832
                     18,                0.63318,                 1.2072,                 1.0026,                 1.0287,                0.62485,                0.39049,                0.41209,                0.29993,                0.60605,                0.36996,                0.39548,                0.24503,                 1.2236,                 2.8398,                 2.2543,                 1.4778,               0.006634,               0.006634,               0.006634
